Food,Category,Serving_Size,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugar_g,Sodium_mg,Meal_Type,Best_For,Health_Rating,Nutrition_Score,Glycemic_Index,Allergens,Is_Veg,Description
Aloo_matar,Main Course,1 bowl (200 g),215,6.8,28.5,8.9,7.2,4.8,420,Lunch/Dinner,Lunch,Healthy,88,Medium,No Allergens,Yes,"North Indian curry made with potatoes and green peas."
Besan_cheela,Breakfast,2 cheelas (150 g),295,13.5,26.0,15.2,6.1,3.2,380,Breakfast,Breakfast,Healthy,86,Low,No Allergens,Yes,"Protein-rich gram flour pancake with Indian spices."
Biryani,Main Course,1 plate (300 g),470,16.2,56.8,19.8,3.4,2.8,890,Lunch/Dinner,Lunch,Moderate,71,High,Depends on Ingredients,Depends on preparation,"Fragrant rice dish cooked with vegetables,chicken or meat and aromatic spices."
Chapathi,Bread,2 chapathis (80 g),220,7.2,43.5,3.0,6.4,1.0,240,Breakfast/Lunch/Dinner,Any Meal,Healthy,92,Medium,Gluten,Yes,"Whole wheat flatbread served with Indian curries."
Chole_bature,Main Course,1 plate (350 g),680,18.0,74.5,33.5,13.2,8.4,980,Lunch,Lunch,Indulgent,46,High,Gluten,Yes,"Spiced chickpeas served with deep-fried bread."
Dahl,Main Course,1 bowl (200 g),185,10.5,24.8,5.4,8.7,2.6,410,Lunch/Dinner,Dinner,Healthy,90,Low,No Allergens,Yes,"Cooked lentils seasoned with Indian spices."
Dhokla,Snack,4 pieces (120 g),185,8.2,29.5,3.8,3.5,5.0,520,Breakfast/Snack,Breakfast,Healthy,87,Medium,No Allergens,Yes,"Steamed fermented gram flour snack."
Dosa,Breakfast,1 plain dosa (150 g),185,4.6,30.1,5.6,2.3,1.1,290,Breakfast,Breakfast,Moderate,83,Medium,No Allergens,Yes,"Fermented rice and lentil crepe served with chutney."
Gulab_jamun,Dessert,2 pieces (100 g),310,4.2,49.5,11.8,0.8,38.5,140,Dessert,Dessert,Indulgent,35,High,Dairy,Yes,"Deep-fried milk-solid dumplings soaked in sugar syrup."
Idli,Breakfast,2 pieces (100 g),128,4.3,28.2,0.5,2.3,0.5,240,Breakfast,Breakfast,Healthy,91,Medium,No Allergens,Yes,"Soft steamed fermented rice and lentil cakes."
Jalebi,Dessert,100 g,385,2.4,79.8,7.3,0.5,59.4,165,Dessert,Dessert,Indulgent,28,High,Gluten,Yes,"Deep-fried spiral sweet soaked in sugar syrup."
Kadai_paneer,Main Course,1 bowl (250 g),355,16.8,17.5,23.8,4.2,8.5,640,Lunch/Dinner,Dinner,Moderate,72,Low,Dairy,Yes,"Paneer cooked with capsicum and Indian spices."
Naan,Bread,1 naan (100 g),300,8.8,51.2,6.7,2.4,3.5,510,Lunch/Dinner,Dinner,Moderate,74,High,Gluten;Dairy,Yes,"Leavened tandoor-baked Indian flatbread."
Paani_puri,Street Food,6 puris (180 g),325,5.8,49.6,11.6,4.8,6.8,690,Snack,Evening Snack,Moderate,69,High,Gluten,Yes,"Crispy hollow puris filled with spicy water and potatoes."
Pakoda,Snack,100 g,315,8.5,27.6,19.5,3.8,2.4,460,Snack,Evening Snack,Indulgent,63,Medium,No Allergens,Yes,"Deep-fried vegetable fritters coated in gram flour."
Pav_bhaji,Street Food,1 plate (350 g),455,11.2,56.8,18.5,8.2,8.4,760,Lunch/Dinner,Dinner,Moderate,67,High,Gluten;Dairy,Yes,"Spiced mashed vegetables served with buttered bread rolls."
Poha,Breakfast,1 plate (200 g),250,6.3,42.8,7.2,4.3,4.6,390,Breakfast,Breakfast,Healthy,89,Medium,No Allergens,Yes,"Flattened rice cooked with onions, peanuts and spices."
Rolls,Main Course,1 roll (250 g),425,17.8,39.5,18.4,3.5,5.4,720,Lunch/Dinner,Lunch,Moderate,70,Medium,Gluten,Yes,"Indian wrap filled with vegetables or paneer."
Samosa,Snack,2 pieces (160 g),515,9.8,48.6,29.8,5.4,4.1,610,Snack,Evening Snack,Indulgent,48,High,Gluten,Yes,"Deep-fried pastry filled with spicy potato stuffing."
Vada_pav,Street Food,1 piece (180 g),375,8.9,41.5,18.2,4.1,3.6,690,Snack,Evening Snack,Moderate,66,High,Gluten,Yes,"Mumbai street food consisting of potato fritter inside a bread bun."
